date,high,low
7/1/2014,5845,5845
7/2/2014,6847,6847
7/3/2014,5955,5955
7/4/2014,4881,4881
7/5/2014,2948,2948
7/6/2014,3398,3398
7/7/2014,3863,3863
7/8/2014,7277,7277
7/9/2014,2720,2720
7/10/2014,6687,6687
7/11/2014,17852,3199
7/12/2014,62947,3030
7/13/2014,3156,3156
7/14/2014,3942,3890
7/15/2014,2353,2353
7/16/2014,56487,2288
7/17/2014,37623,2074
7/18/2014,2896,2885
7/19/2014,1846,1846
7/20/2014,1834,1834
7/21/2014,4297,4297
7/22/2014,7174,7174
7/23/2014,6228,6228
7/24/2014,6119,6119
7/25/2014,10434,10434
7/26/2014,6612,6612
7/27/2014,6842,6842
7/28/2014,5134,5134
7/29/2014,3087,3087
7/30/2014,4599,4599
7/31/2014,6887,6887
8/1/2014,8351,8351
8/2/2014,1471,1471
8/3/2014,1896,1896
8/4/2014,1964,1964
8/5/2014,6594,6594
8/6/2014,24134,24134
8/7/2014,50077,23505
8/8/2014,33671,33671
